time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
2018-03-23,543.84,506.79,539.89,432407.55,225200086.3,543.83,direct,
2018-03-24,546.01,519.51,543.84,241529.67,129350391.02,520.16,direct,
2018-03-25,535.77,513.63,520.17,213514.32,111462284.91,523.01,direct,
2018-03-26,526.2,467.48,522.97,567723.19,278656813.48,486.25,direct,
2018-03-27,491.92,446.42,486.14,712309.54,328179170.99,448.78,direct,
2018-03-28,465.2,440.35,448.78,415739.15,187271233.18,445.93,direct,
2018-03-29,448.5,380.35,445.93,1162700.51,472575968.96,383.9,direct,
2018-03-30,411.17,364.99,383.96,1174101.99,450253373.58,393.82,direct,
2018-03-31,421.05,389.99,393.83,602304.03,243062846.9,394.07,direct,
2018-04-01,399.59,359.22,394.07,626777.44,236013242.51,378.85,direct,
2018-04-02,394.12,375.8,378.85,406593.03,156793473.63,384.68,direct,
2018-04-03,426.84,380.71,384.68,556809.37,223508235.85,415.93,direct,
2018-04-04,417.11,370.66,415.93,575977.98,223170178.92,378.65,direct,
2018-04-05,387.56,367.15,378.65,424333.64,160332018.27,381.36,direct,
2018-04-06,385.78,363.51,381.43,360272.94,133748822.09,370.35,direct,
2018-04-07,397.1,369.66,370.35,281003.74,108165642.16,384.98,direct,
2018-04-08,404.22,384.98,384.98,272088.6,107956653.97,400.72,direct,
2018-04-09,431.23,387.98,400.72,669097.01,271803047.82,399.02,direct,
2018-04-10,418.27,391.84,399.02,320480.46,129335600.11,415.65,direct,
2018-04-11,433.44,410.97,415.65,398311.12,167561896.24,430.42,direct,
2018-04-12,498.08,414.03,430.39,985900.0,450834363.9,493.95,direct,
2018-04-13,528.95,482.1,493.95,930496.63,470945268.74,494.96,direct,
2018-04-14,514.66,487.72,494.96,381076.96,191073028.98,502.79,direct,
2018-04-15,534.31,502.79,502.79,469221.99,243926045.87,534.15,direct,
2018-04-16,537.48,499.17,534.16,487480.43,249996040.92,511.67,direct,
2018-04-17,522.07,500.48,511.67,382492.24,195195626.75,503.03,direct,
2018-04-18,526.61,501.7,503.03,347025.84,178681435.05,525.78,direct,
